판매일자,상품코드,가격,판매수량
2026-07-01,P034,2300,6
2026-07-01,P067,1500,14
2026-07-01,P092,2200,11
2026-07-01,P093,3000,2
2026-07-01,P068,1200,3
2026-07-02,P005,5200,6
2026-07-02,P042,1500,3
2026-07-02,P069,2500,4
2026-07-03,P010,3200,7
2026-07-03,P063,1500,6
2026-07-03,P028,4500,2
2026-07-03,P004,6500,7
2026-07-04,P060,1800,3
2026-07-04,P076,2200,4
2026-07-04,P057,4800,11
2026-07-04,P061,2000,3
2026-07-05,P067,1500,3
2026-07-05,P074,3800,2
2026-07-05,P036,2400,7
2026-07-05,P056,2000,13
2026-07-05,P060,1800,5
2026-07-06,P012,3800,3
2026-07-06,P056,2000,3
2026-07-06,P056,2000,12
2026-07-07,P078,1900,6
2026-07-07,P056,2000,13
2026-07-07,P061,2000,4
2026-07-07,P040,2200,10
2026-07-08,P083,3000,8
2026-07-08,P008,1700,12
2026-07-08,P048,1700,5
2026-07-08,P099,2500,7
2026-07-08,P013,3600,5
2026-07-08,P041,2500,7
2026-07-09,P089,1200,13
2026-07-09,P098,8000,7
2026-07-09,P084,3000,4
2026-07-10,P086,1500,11
2026-07-10,P027,3500,8
2026-07-10,P014,4200,7
2026-07-10,P093,3000,10
2026-07-10,P030,2900,4
2026-07-11,P051,2000,6
2026-07-11,P073,1800,9
2026-07-11,P058,2500,9
2026-07-12,P098,8000,5
2026-07-12,P063,1500,14
2026-07-12,P064,1800,14
2026-07-13,P074,3800,4
2026-07-14,P003,5500,3
2026-07-14,P072,1900,9
2026-07-15,P070,4500,2
2026-07-15,P096,1000,9
2026-07-15,P064,1800,10
2026-07-16,P032,1800,9
2026-07-16,P046,1800,12
2026-07-16,P045,1800,4
2026-07-16,P030,2900,10
2026-07-17,P008,1700,11
2026-07-17,P004,6500,8
2026-07-17,P065,1800,15
2026-07-20,P045,1800,6
2026-07-20,P011,3500,9
2026-07-20,P056,2000,8
2026-07-20,P018,1900,5
2026-07-20,P067,1500,14
2026-07-21,P047,2100,2
2026-07-21,P055,1800,10
2026-07-21,P013,3600,8
2026-07-21,P087,2000,4
2026-07-22,P032,1800,3
2026-07-22,P038,2200,2
2026-07-23,P053,1700,4
2026-07-23,P013,3600,5
2026-07-23,P074,3800,7
2026-07-23,P010,3200,10
2026-07-23,P018,1900,14
2026-07-23,P013,3600,2
2026-07-23,P046,1800,12
2026-07-23,P085,3500,7
2026-07-24,P055,1800,9
2026-07-24,P019,1800,5
2026-07-24,P090,3000,9
2026-07-24,P009,1600,7
2026-07-24,P020,2200,4
2026-07-25,P028,4500,11
2026-07-25,P053,1700,11
2026-07-25,P070,4500,8
